glyph,phonetic,pinyin,cantonese,on,kun,korean,vietnamese
㐀,卝,qiū,jau1,,,,
㐁,,tiàn,tim2,,,,
㐂,,,hei2,,,,
㐃,,,,,,,
㐄,,kuà,,,,,
㐅,0,wǔ,ng5,,,,
㐆,㐆,yǐn,zaan2,,,,
㐇,,,,,,,
㐈,,,,,,,
㐉,,,,,,,
㐊,,,,,,,
㐋,,,,,,,
㐌,0,yí,ji4,,,,
㐍,,,,,,,
㐎,,,,,,,
㐏,,,,,,,
㐐,,,,,,,
㐑,,,,,,,
㐒,,,,,,,
㐓,,,,,,,
㐔,,,,,,,
㐕,,,,,,,
㐖,,xié,zip6,,,,
㐗,,,,,,,
㐘,,,,,,,
㐙,,,,,,,
㐚,,,,,,,
㐛,佑,,,,,,
㐜,,chóu,caau4,,,,
㐝,拘,,,,,,
㐞,,,,,,,
㐟,,,,,,,
㐠,,,,,,,
㐡,耎,nuò,no6,,,,
㐢,浮,,,,,,
㐣,,,,,,,
㐤,真,dān,kaau4,,,,
㐥,,,,,,,
㐦,擧,,,,,,
㐧,㐧,,dai6,,,,
㐨,予,xù,zeoi6,,,,
㐩,,xíng,zing4,,,,
㐪,,,,,,,
㐫,凶,xiōng,gun3 hung1 zung1,,,,
㐬,0,liú,lau4,,,,
㐭,0,lǐn,lam5,,,,
㐮,,xiāng,soeng1,,,,
㐯,,yōng,jung4,,,,
㐰,,xìn,seon3,,,,
㐱,0,zhěn,caa5 caan2 dou3 zaan2,,,,
㐲,,dài,daai6,,,,
㐳,,wù,ngaat6,,,,
㐴,,pān,paan1,,,,
㐵,于,rú,jyu4,,,,
㐶,,,,,,,
㐷,,mǎ,maa6,,,,
㐸,,qiàn,gim1 him3,,,,
㐹,,yì,go1 kwok3 ngaat6,,,,
㐺,,yín,zung3,,,,
㐻,内,nèi,fu1 mou5 noi6,,,,
㐼,升,chèng,cing2,,,,
㐽,風,fēng,fung1,,,,
㐾,,,,,,,
㐿,,,,,,,
㑀,太,,taai3,,,,
㑁,,zhuō,zyut3 zyut6,,,,
㑂,丙,fǎng,fong2 pong4,,,,
