glyph,phonetic
一,0
丁,0
丂,0
七,0
丄,0
丅,0
丆,0
万,0
丈,0
三,0
上,0
下,0
丌,0
不,0
与,0
丏,0
丐,0
丑,0
丒,1
专,0
且,0
丕,不
世,卅
丗,卅
丘,0
丙,0
东,N
丞,氶
丟,0
両,0
丢,0
丣,0
並,0
丨,0
丩,0
个,0
丫,0
丬,0
中,0
丯,0
丰,0
丱,0
串,0
丳,吕
丶,0
丸,0
丹,0
为,为
主,0
丼,0
丽,0
举,兴
丿,0
乀,0
乂,0
乃,0
乄,乄
久,0
乇,0
么,0
义,乂
之,0
乍,0
乎,0
乏,0
乐,樂
乑,0
乒,1
乓,1
乔,0
乕,0
乖,0
乗,0
乘,0
乙,0
乚,0
乛,0
乜,0
九,0
乞,0
也,0
乡,0
乢,0
乥,乊
书,N
乪,1
乮,卯
乯,乎
买,头
乱,0
乲,次
乳,0
乴,折
乵,1
乷,沙
乺,所
乻,於
乼,注
乾,倝
乿,1
亀,0
亂,0
亄,壹
亅,0
了,0
予,0
争,0
亊,0
事,1
二,0
亍,0
于,0
亏,0
亐,0
云,0
互,0
亓,丌
五,0
井,0
亘,0
亙,0
亚,0
些,此
亜,0
亞,0
亟,0
亠,0
亡,0
亢,0
交,0
亥,0
亦,0
亨,0
亩,0
亪,亦
享,亨
京,0
亭,丁
亮,0
亯,0
亰,0
亱,但
亲,0
亳,乇
亵,执
亶,1
亸,享
亹,0
人,0
亼,0
亾,0
什,十
仁,二
仂,力
仄,0
仅,0
仆,卜
仇,九
仈,八
今,0
介,0
仍,乃
从,0
仏,0
仔,子
仕,士
他,也
仗,丈
付,0
仙,山
仛,乇
仝,0
仞,刃
仟,千
仡,乞
仢,勺
代,1
令,0
以,0
仪,義
仫,么
仭,刄
仮,反
仯,少
仰,卬
仲,中
仳,比
仴,月
仵,午
件,0
价,介
任,壬
仾,互
仿,方
伀,公
企,止
伂,巿
伃,予
伄,弔
伅,屯
伇,殳
伉,亢
伊,尹
伌,厄
伍,五
伎,支
伏,0
伐,0
休,0
伓,不
伔,冗
伕,夫
伖,友
众,0
会,0
伛,區
伜,卆
伝,云
伟,韋
传,專
伣,見
伥,長
伦,侖
伧,倉
伨,匀
伪,为
伫,㝉
伬,尺
伭,玄
伮,奴
伯,白
估,古
伲,尼
伳,世
伴,半
伵,四
伶,令
伷,由
伸,申
伺,司
伻,平
似,以
伽,加
伾,丕
伿,只
佀,㠯
佁,台
佃,田
但,旦
佇,宁
佈,布
位,0
低,氐
住,主
佐,左
佑,右
佒,央
体,本
佔,占
何,可
佖,必
佗,它
余,亼朩
佚,失
佛,弗
作,乍
佝,句
佞,0
佟,冬
你,尔
佡,仚
佧,卡
佩,1
佭,夅
佯,羊
佰,百
佲,名
佳,圭
併,并
佶,吉
佹,危
佺,全
佻,兆
佼,交
佽,次
佾,䏌
使,吏
侀,刑
侂,㡯
侃,0
侅,亥
來,0
侇,夷
侈,多
侉,夸
例,列
侌,云
侍,寺
侎,米
侏,朱
侑,有
侒,安
侓,聿
侔,牟
侖,0
侘,它
侙,式
侚,旬
供,共
侜,舟
依,衣
侞,如
侟,存
侠,夾
価,賈
侢,再
侣,吕
侤,考
侥,堯
侦,贞
侧,则
侨,乔
侩,会
侪,齊
侫,0
侬,農
侭,盡
侮,每
侯,0
侰,君
侱,呈
侳,坐
侴,亼丑刂
侵,1
侶,吕
侷,局
侹,廷
侺,岑
侻,兑
侼,孛
侽,男
侾,孝
便,0
俀,妥
俁,吳
係,系
促,足
俄,我
俇,狂
俈,吿
俉,吾
俊,夋
俋,邑
俌,甫
俎,且
俐,利
俑,甬
俒,完
俓,巠
俔,見
俕,宋
俖,否
俗,谷
俘,孚
俙,希
俚,里
俛,免
俜,甹
保,呆
俞,0
俟,矣
信,0
俢,㣊
俣,吳
俤,弟
俥,車
俦,寿
俧,志
俨,严
俩,兩
俪,丽
俫,来
俬,私
俭,僉
修,攸
俯,府
俰,和
俱,具
俲,効
俳,非
俴,戔
俵,表
俶,叔
俷,肥
俸,奉
俹,亞
俺,奄
俻,备
俼,育
俽,欣
俾,卑
俿,虎
倀,長
倁,知
倂,并
倃,咎
倄,肴
倅,卒
倆,兩
倇,宛
倈,來
倉,0
倊,忩
個,固
倌,官
倍,咅
倎,典
倏,攸
們,門
倒,到
倔,屈
倕,垂
倖,幸
倗,朋
倘,尚
候,侯
倚,奇
倜,周
倝,龺
倞,京
借,昔
倡,昌
倢,疌
倣,放
値,直
倥,空
倦,卷
倧,宗
倨,居
倩,青
倪,兒
倫,侖
倬,卓
倭,委
倯,松
倰,夌
倱,昆
倲,東
倳,事
倴,奔
倵,武
倶,具
倷,奈
倸,采
倹,僉
债,责
倻,耶
值,直
倽,舍
倾,顷
倿,妾
偀,英
偁,爯
偂,前
偃,匽
偄,耎
偆,春
假,叚
偈,曷
偉,韋
偊,禹
偋,屏
偌,若
偎,畏
偏,扁
偐,彥
偑,風
偒,昜
偓,屋
偔,咢
偕,皆
偖,者
偗,省
偘,品
偙,帝
做,0
偛,臿
停,亭
偝,背
偞,枼
偟,皇
偠,要
偡,甚
偢,秋
偣,音
偤,酋
健,建
偦,胥
偧,奓
偨,柴
偩,負
偪,畐
偫,待
偬,怱
偭,面
偮,咠
偯,哀
偰,契
偱,盾
偲,思
偳,耑
側,則
偵,貞
偶,禺
偷,俞
偸,兪
偹,备
偺,昝
偻,婁
偽,爲
偾,賁
偿,尝
傀,鬼
傁,叟
傂,虒
傃,素
傄,眘
傅,尃
傆,原
傇,茸
傈,栗
傉,辱
傊,員
傋,冓
傌,馬
傍,旁
傎,真
傏,唐
傑,桀
傒,奚
傓,扇
傕,隺
傖,倉
傗,畜
傘,0
備,𤰇
傚,效
傛,容
傜,䍃
傞,差
傟,翁
傠,討
傡,竝
傢,家
傣,泰
傤,载
傥,党
傧,宾
储,诸
傩,难
傪,參
傫,累
催,崔
傭,庸
傮,曹
傯,悤
傰,崩
傱,從
傲,敖
傳,專
傴,區
債,責
傶,戚
傷,昜
傸,爽
傹,竟
傺,祭
傽,章
傾,頃
傿,焉
僀,帶
僁,悉
僂,婁
僃,𤰇
僄,票
僅,堇
僆,連
僇,翏
僈,曼
僉,0
僊,䙴
僋,貪
働,動
僎,巽
像,象
僐,善
僑,喬
僒,窘
僓,貴
僔,尊
僕,菐
僖,喜
僗,勞
僘,敞
僚,尞
僛,欺
僜,登
僝,孱
僞,爲
僟,幾
僠,番
僡,惠
僢,舜
僣,替
僥,堯
僦,就
僧,曾
僨,賁
僩,閒
僪,矞
僫,惡
僬,焦
僭,朁
僮,童
僰,棘
僱,雇
僳,粟
僴,間
僵,畺
僶,黽
僷,葉
僸,禁
價,賈
僺,喿
僻,辟
僼,豊
僽,愁
僾,愛
僿,塞
儀,義
儁,雋
儂,農
儃,亶
億,意
儅,當
儆,敬
儇,睘
儈,會
儉,僉
儊,楚
儋,詹
儌,敫
儎,載
儏,粲
儐,賓
儑,㬎
儒,需
儓,臺
儔,壽
儕,齊
儖,監
儗,疑
儘,盡
儙,遣
儚,夢
儛,舞
儜,寧
儝,榮
儞,爾
償,賞
儠,巤
儡,畾
儢,慮
儣,廣
儤,暴
儥,賣
儦,麃
儧,賛
儨,質
儩,賜
優,憂
儫,豪
儬,靚
儭,親
儮,歷
儯,駦
儰,蔿
儲,諸
儳,毚
儴,襄
儶,巂
儷,麗
儸,羅
儹,贊
儺,難
儻,黨
儼,嚴
儽,纍
儾,囊
儿,0
兀,0
允,㠯
兂,兂
元,0
兄,0
充,𠫓
兆,0
兇,凶
先,0
光,火
兊,㕣
克,0
兌,㕣
免,0
兎,0
兏,亾
児,0
兑,㕣
兒,0
兓,0
兔,0
兕,凹
兖,兊
兗,兑
党,尚
兜,0
兟,先
兡,百
兢,丯
兣,克
兤,廣
入,0
兦,0
內,0
全,0
兩,㒳
兪,0
八,0
公,0
六,0
兮,0
共,0
关,0
兵,0
其,0
具,0
典,0
兹,𢆶
兼,0
冀,異
冁,單
冂,0
冃,0
冄,0
内,0
円,0
冈,冂
冉,0
冊,0
冋,0
册,0
再,0
冎,0
冏,0
冐,冃
冑,由
冒,冃
冓,0
冔,吁
冕,免
冖,0
冗,0
冘,0
写,0
冝,且
冞,米
冠,㝴
冡,0
冢,豖
冤,0
冥,冖
冦,完
冨,畐
冩,舃
冪,幕
冫,0
冬,0
冰,冫
冱,互
冲,中
决,夬
冴,牙
况,兄
冶,台
冷,令
冸,半
冹,犮
冺,民
冻,東
冽,列
冿,聿
净,爭
凂,免
凄,妻
凅,固
准,0
凇,松
凈,爭
凉,京
凊,青
凋,周
凌,夌
凍,東
减,咸
凐,垔
凑,奏
凒,豈
凓,栗
凔,倉
凕,冥
凖,隼
凗,崔
凘,斯
凙,睪
凚,禁
凛,禀
凜,稟
凝,疑
凞,巸
凟,賣
几,0
凡,0
凢,0
凣,0
処,0
凧,1
凨,云
凩,木
凪,止
凭,任
凮,百
凯,岂
凰,皇
凱,豈
凳,登
凴,馮
凵,0
凶,0
凷,0
凸,0
凹,0
出,0
函,0
凾,0
凿,丵
刀,0
刁,0
刃,0
刄,0
分,0
切,七
刈,乂
刉,乞
刊,干
刋,千
刍,0
刎,勿
刐,丹
刑,幵
刓,元
刔,夬
刖,月
列,1
刚,冈
创,倉
刜,弗
初,0
刟,召
删,册
刡,民
判,半
別,1
刧,去
刨,包
利,0
刪,冊
别,1
刬,戔
刮,舌
刯,亘
到,至
刳,夸
刴,朶
制,1
刷,𡰯
券,龹
刹,杀
刺,朿
刻,亥
刽,会
刾,夹
刿,岁
剀,岂
剁,朵
剂,齊
剃,弟
剄,巠
則,0
剈,肙
剉,坐
削,肖
剋,克
剌,1
前,0
剏,1
剐,呙
剑,僉
剒,昔
剔,易
剖,咅
剗,戔
剚,事
剛,岡
剜,宛
剝,彖
剞,奇
剟,叕
剠,京
剡,炎
剢,豖
剣,僉
剤,齊
剥,彖
剦,奄
剧,居
剨,砉
剩,乘
剪,前
剫,度
剬,耑
剭,屋
剮,咼
副,畐
剰,乗
剱,僉
割,害
剳,荅
剴,豈
創,倉
剶,彖
剷,產
剸,專
剹,翏
剻,崩
剼,參
剽,票
剾,區
剿,巢
劀,矞
劁,焦
劂,厥
劃,畫
劄,答
劅,蜀
劆,廉
劇,豦
劈,辟
劉,1
劊,會
劋,喿
劌,歲
劍,僉
劎,僉
劏,當
劐,蒦
劑,齊
劒,僉
劓,0
劔,僉
劕,質
劖,毚
劗,贊
劘,靡
劙,蠡
